Wavelength (Angstroms), Normalized intensity, Element
4224.98, 9163, 
4224.982, 9175, 
4224.984, 9188, 
4224.986, 9199, 
4224.988, 9209, 
4224.99, 9217, 
4224.992, 9225, 
4224.994, 9231, 
4224.996, 9236, 
4224.998, 9241, 
4225.0, 9243, 
4225.002, 9247, 
4225.004, 9247, 
4225.006, 9248, 
4225.008, 9248, 
4225.01, 9248, 
4225.012, 9247, 
4225.014, 9244, 
4225.016, 9241, 
4225.018, 9239, 
4225.02, 9236, 
4225.022, 9233, 
4225.024, 9230, 
4225.026, 9225, 
4225.028, 9221, 
4225.03, 9217, 
4225.032, 9213, 
4225.034, 9208, 
4225.036, 9204, 
4225.038, 9199, 
4225.04, 9193, 
4225.042, 9188, 
4225.044, 9183, 
4225.046, 9176, 
4225.048, 9170, 
4225.05, 9163, 
4225.052, 9156, 
4225.054, 9148, 
4225.056, 9140, 
4225.058, 9131, 
4225.06, 9122, 
4225.062, 9112, 
4225.064, 9102, 
4225.066, 9091, 
4225.068, 9079, 
4225.07, 9067, 
4225.072, 9056, 
4225.074, 9044, 
4225.076, 9030, 
4225.078, 9017, 
4225.08, 9004, 
4225.082, 8990, 
4225.084, 8976, 
4225.086, 8962, 
4225.088, 8949, 
4225.09, 8935, 
4225.092, 8922, 
4225.094, 8911, 
4225.096, 8899, 
4225.098, 8888, 
4225.1, 8877, 
4225.102, 8867, 
4225.104, 8858, 
4225.106, 8848, 
4225.108, 8840, 
4225.11, 8832, 
4225.112, 8825, 
4225.114, 8819, 
4225.116, 8813, 
4225.118, 8807, 
4225.12, 8801, 
4225.122, 8794, 
4225.124, 8787, 
4225.126, 8779, 
4225.128, 8770, 
4225.13, 8761, 
4225.132, 8750, 
4225.134, 8737, 
4225.136, 8724, 
4225.138, 8708, 
4225.14, 8691, 
4225.142, 8671, 
4225.144, 8649, 
4225.146, 8623, 
4225.148, 8595, 
4225.15, 8564, 
4225.152, 8526, 
4225.154, 8480, 
4225.156, 8430, 
4225.158, 8377, 
4225.16, 8318, 
4225.162, 8252, 
4225.164, 8178, 
4225.166, 8101, 
4225.168, 8023, 
4225.17, 7944, 
4225.172, 7862, 
4225.174, 7775, 
4225.176, 7679, 
4225.178, 7576, 
4225.18, 7478, 
4225.182, 7383, 
4225.184, 7293, 
4225.186, 7203, 
4225.188, 7109, 
4225.19, 7020, 
4225.192, 6936, 
4225.194, 6859, 
4225.196, 6785, 
4225.198, 6715, 
4225.2, 6650, 
4225.202, 6592, 
4225.204, 6542, 
4225.206, 6499, 
4225.208, 6462, 
4225.21, 6429, 
4225.212, 6404, 
4225.214, 6386, 
4225.216, 6376, 
4225.218, 6378, 
4225.22, 6393, 
4225.222, 6407, 
4225.224, 6423, 
4225.226, 6441, 
4225.228, 6463, 
4225.23, 6486, 
4225.232, 6515, 
4225.234, 6547, 
4225.236, 6581, 
4225.238, 6618, 
4225.24, 6656, 
4225.242, 6697, 
